"year","news","pages","sort"
"1989","Daily News Record - 1989 March 07","24","17854"
"1989","Daily News Record - 1989 March 08","36","17855"
"1989","Daily News Record - 1989 March 09","39","17856"
"1989","Daily News Record - 1989 March 10","64","17857"
"1989","Daily News Record - 1989 March 11","36","17858"
"1989","Daily News Record - 1989 March 13","32","17859"
"1989","Daily News Record - 1989 March 14","24","17860"
"1989","Daily News Record - 1989 March 15","37","17861"
"1989","Daily News Record - 1989 March 16","42","17862"
"1989","Daily News Record - 1989 March 17","64","17863"
"1989","Daily News Record - 1989 March 18","36","17864"
"1989","Daily News Record - 1989 March 20","32","17865"
"1989","Daily News Record - 1989 March 21","28","17866"
"1989","Daily News Record - 1989 March 22","35","17867"
"1989","Daily News Record - 1989 March 23","66","17868"
"1989","Daily News Record - 1989 March 24","64","17869"
"1989","Daily News Record - 1989 March 25","42","17870"
"1989","Daily News Record - 1989 March 27","32","17871"
"1989","Daily News Record - 1989 March 28","24","17872"
"1989","Daily News Record - 1989 March 29","37","17873"
"1989","Daily News Record - 1989 March 30","42","17874"
"1989","Daily News Record - 1989 March 31","64","17875"
"1989","Daily News Record - 1989 April 01","40","17876"
"1989","Daily News Record - 1989 April 03","32","17877"
"1989","Daily News Record - 1989 April 04","24","17878"
"1989","Daily News Record - 1989 April 05","35","17879"
"1989","Daily News Record - 1989 April 06","46","17880"
"1989","Daily News Record - 1989 April 07","68","17881"
"1989","Daily News Record - 1989 April 08","40","17882"
"1989","Daily News Record - 1989 April 10","32","17883"
"1989","Daily News Record - 1989 April 11","28","17884"
"1989","Daily News Record - 1989 April 12","41","17885"
"1989","Daily News Record - 1989 April 13","46","17886"
"1989","Daily News Record - 1989 April 14","66","17887"
"1989","Daily News Record - 1989 April 15","40","17888"
"1989","Daily News Record - 1989 April 17","32","17889"
"1989","Daily News Record - 1989 April 18","28","17890"
"1989","Daily News Record - 1989 April 19","39","17891"
"1989","Daily News Record - 1989 April 20","46","17892"
"1989","Daily News Record - 1989 April 21","69","17893"
"1989","Daily News Record - 1989 April 22","39","17894"
"1989","Daily News Record - 1989 April 24","32","17895"
"1989","Daily News Record - 1989 April 25","28","17896"
"1989","Daily News Record - 1989 April 26","31","17897"
"1989","Daily News Record - 1989 April 27","44","17898"
"1989","Daily News Record - 1989 April 28","66","17899"
"1989","Daily News Record - 1989 April 29","39","17900"
"1989","Daily News Record - 1989 May 01","32","17901"
"1989","Daily News Record - 1989 May 02","24","17902"
"1989","Daily News Record - 1989 May 03","32","17903"
"1989","Daily News Record - 1989 May 04","45","17904"
"1989","Daily News Record - 1989 May 05","64","17905"
"1989","Daily News Record - 1989 May 06","40","17906"
"1989","Daily News Record - 1989 May 08","32","17907"
"1989","Daily News Record - 1989 May 09","24","17908"
"1989","Daily News Record - 1989 May 10","37","17909"
"1989","Daily News Record - 1989 May 11","43","17910"
"1989","Daily News Record - 1989 May 12","68","17911"
"1989","Daily News Record - 1989 May 13","36","17912"
"1989","Daily News Record - 1989 May 15","28","17913"
"1989","Daily News Record - 1989 May 16","24","17914"
"1989","Daily News Record - 1989 May 17","39","17915"
"1989","Daily News Record - 1989 May 18","43","17916"
"1989","Daily News Record - 1989 May 19","67","17917"
"1989","Daily News Record - 1989 May 20","40","17918"
"1989","Daily News Record - 1989 May 22","32","17919"
"1989","Daily News Record - 1989 May 23","24","17920"
"1989","Daily News Record - 1989 May 24","43","17921"
"1989","Daily News Record - 1989 May 25","39","17922"
"1989","Daily News Record - 1989 May 26","167","17923"
"1989","Daily News Record - 1989 May 27","44","17924"
"1989","Daily News Record - 1989 May 30","32","17925"
"1989","Daily News Record - 1989 May 31","37","17926"
"1989","Daily News Record - 1989 June 01","43","17927"
"1989","Daily News Record - 1989 June 02","100","17928"
"1989","Daily News Record - 1989 June 03","36","17929"
"1989","Daily News Record - 1989 June 05","28","17930"
"1989","Daily News Record - 1989 June 06","24","17931"
"1989","Daily News Record - 1989 June 07","35","17932"
"1989","Daily News Record - 1989 June 08","39","17933"
"1989","Daily News Record - 1989 June 09","64","17934"
"1989","Daily News Record - 1989 June 10","40","17935"
"1989","Daily News Record - 1989 June 12","28","17936"
"1989","Daily News Record - 1989 June 13","24","17937"
"1989","Daily News Record - 1989 June 14","35","17938"
"1989","Daily News Record - 1989 June 15","47","17939"
"1989","Daily News Record - 1989 June 16","68","17940"
"1989","Daily News Record - 1989 June 17","38","17941"
"1989","Daily News Record - 1989 June 19","32","17942"
"1989","Daily News Record - 1989 June 20","24","17943"
"1989","Daily News Record - 1989 June 21","41","17944"
"1989","Daily News Record - 1989 June 22","43","17945"
"1989","Daily News Record - 1989 June 23","60","17946"
"1989","Daily News Record - 1989 June 24","36","17947"
"1989","Daily News Record - 1989 June 26","32","17948"
"1989","Daily News Record - 1989 June 27","24","17949"
"1989","Daily News Record - 1989 June 28","35","17950"
"1989","Daily News Record - 1989 June 29","42","17951"
"1989","Daily News Record - 1989 June 30","64","17952"
"1989","Daily News Record - 1989 July 01","39","17953"
"1989","Daily News Record - 1989 July 03","32","17954"
"1989","Daily News Record - 1989 July 05","31","17955"
"1989","Daily News Record - 1989 July 06","39","17956"
"1989","Daily News Record - 1989 July 07","60","17957"
"1989","Daily News Record - 1989 July 08","32","17958"
"1989","Daily News Record - 1989 July 10","24","17959"
"1989","Daily News Record - 1989 July 11","24","17960"
"1989","Daily News Record - 1989 July 12","36","17961"
"1989","Daily News Record - 1989 July 13","39","17962"
"1989","Daily News Record - 1989 July 14","61","17963"
"1989","Daily News Record - 1989 July 15","36","17964"
"1989","Daily News Record - 1989 July 17","24","17965"
"1989","Daily News Record - 1989 July 18","23","17966"
"1989","Daily News Record - 1989 July 19","33","17967"
"1989","Daily News Record - 1989 July 20","39","17968"
"1989","Daily News Record - 1989 July 21","60","17969"
"1989","Daily News Record - 1989 July 22","38","17970"
"1989","Daily News Record - 1989 July 24","24","17971"
"1989","Daily News Record - 1989 July 25","24","17972"
"1989","Daily News Record - 1989 July 26","35","17973"
"1989","Daily News Record - 1989 July 27","40","17974"
"1989","Daily News Record - 1989 July 28","64","17975"
"1989","Daily News Record - 1989 July 29","38","17976"
"1989","Daily News Record - 1989 July 31","24","17977"
"1989","Daily News Record - 1989 August 01","26","17978"
"1989","Daily News Record - 1989 August 02","31","17979"
"1989","Daily News Record - 1989 August 03","39","17980"
"1989","Daily News Record - 1989 August 04","60","17981"
"1989","Daily News Record - 1989 August 05","32","17982"
"1989","Daily News Record - 1989 August 07","28","17983"
"1989","Daily News Record - 1989 August 08","24","17984"
"1989","Daily News Record - 1989 August 09","33","17985"
"1989","Daily News Record - 1989 August 10","44","17986"
"1989","Daily News Record - 1989 August 11","64","17987"
"1989","Daily News Record - 1989 August 12","32","17988"
"1989","Daily News Record - 1989 August 14","35","17989"
"1989","Daily News Record - 1989 August 15","23","17990"
"1989","Daily News Record - 1989 August 16","31","17991"
"1989","Daily News Record - 1989 August 17","43","17992"
"1989","Daily News Record - 1989 August 18","60","17993"
"1989","Daily News Record - 1989 August 19","38","17994"
"1989","Daily News Record - 1989 August 21","28","17995"
"1989","Daily News Record - 1989 August 22","24","17996"
"1989","Daily News Record - 1989 August 23","39","17997"
"1989","Daily News Record - 1989 August 24","39","17998"
"1989","Daily News Record - 1989 August 25","68","17999"
"1989","Daily News Record - 1989 August 26","36","18000"
"1989","Daily News Record - 1989 August 28","28","18001"
"1989","Daily News Record - 1989 August 29","24","18002"
"1989","Daily News Record - 1989 August 30","35","18003"
"1989","Daily News Record - 1989 August 31","39","18004"
"1989","Daily News Record - 1989 September 01","108","18005"
"1989","Daily News Record - 1989 September 02","45","18006"
"1989","Daily News Record - 1989 September 05","30","18007"
"1989","Daily News Record - 1989 September 06","31","18008"
"1989","Daily News Record - 1989 September 07","43","18009"
"1989","Daily News Record - 1989 September 08","60","18010"
"1989","Daily News Record - 1989 September 09","42","18011"
"1989","Daily News Record - 1989 September 11","30","18012"
"1989","Daily News Record - 1989 September 12","24","18013"
"1989","Daily News Record - 1989 September 13","35","18014"
