"year","news","pages","sort"
"2007","Daily News Record - 2007 October 15","28","22854"
"2007","Daily News Record - 2007 October 16","28","22855"
"2007","Daily News Record - 2007 October 17","28","22856"
"2007","Daily News Record - 2007 October 18","56","22857"
"2007","Daily News Record - 2007 October 19","72","22858"
"2007","Daily News Record - 2007 October 20","48","22859"
"2007","Daily News Record - 2007 October 22","34","22860"
"2007","Daily News Record - 2007 October 23","28","22861"
"2007","Daily News Record - 2007 October 24","28","22862"
"2007","Daily News Record - 2007 October 25","63","22863"
"2007","Daily News Record - 2007 October 26","86","22864"
"2007","Daily News Record - 2007 October 27","56","22865"
"2007","Daily News Record - 2007 October 29","28","22866"
"2007","Daily News Record - 2007 October 30","28","22867"
"2007","Daily News Record - 2007 October 31","28","22868"
"2007","Daily News Record - 2007 November 01","47","22869"
"2007","Daily News Record - 2007 November 02","60","22870"
"2007","Daily News Record - 2007 November 03","48","22871"
"2007","Daily News Record - 2007 November 05","44","22872"
"2007","Daily News Record - 2007 November 06","28","22873"
"2007","Daily News Record - 2007 November 07","28","22874"
"2007","Daily News Record - 2007 November 08","39","22875"
"2007","Daily News Record - 2007 November 09","54","22876"
"2007","Daily News Record - 2007 November 10","48","22877"
"2007","Daily News Record - 2007 November 12","28","22878"
"2007","Daily News Record - 2007 November 13","36","22879"
"2007","Daily News Record - 2007 November 14","28","22880"
"2007","Daily News Record - 2007 November 15","59","22881"
"2007","Daily News Record - 2007 November 16","52","22882"
"2007","Daily News Record - 2007 November 17","60","22883"
"2007","Daily News Record - 2007 November 19","72","22884"
"2007","Daily News Record - 2007 November 20","28","22885"
"2007","Daily News Record - 2007 November 21","55","22886"
"2007","Daily News Record - 2007 November 23","56","22887"
"2007","Daily News Record - 2007 November 24","48","22888"
"2007","Daily News Record - 2007 November 26","28","22889"
"2007","Daily News Record - 2007 November 27","28","22890"
"2007","Daily News Record - 2007 November 28","28","22891"
"2007","Daily News Record - 2007 November 29","68","22892"
"2007","Daily News Record - 2007 November 30","96","22893"
"2007","Daily News Record - 2007 December 01","51","22894"
"2007","Daily News Record - 2007 December 03","36","22895"
"2007","Daily News Record - 2007 December 04","28","22896"
"2007","Daily News Record - 2007 December 05","28","22897"
"2007","Daily News Record - 2007 December 06","39","22898"
"2007","Daily News Record - 2007 December 07","56","22899"
"2007","Daily News Record - 2007 December 08","56","22900"
"2007","Daily News Record - 2007 December 10","28","22901"
"2007","Daily News Record - 2007 December 11","36","22902"
"2007","Daily News Record - 2007 December 12","28","22903"
"2007","Daily News Record - 2007 December 13","55","22904"
"2007","Daily News Record - 2007 December 14","60","22905"
"2007","Daily News Record - 2007 December 15","52","22906"
"2007","Daily News Record - 2007 December 17","28","22907"
"2007","Daily News Record - 2007 December 18","28","22908"
"2007","Daily News Record - 2007 December 19","28","22909"
"2007","Daily News Record - 2007 December 20","40","22910"
"2007","Daily News Record - 2007 December 21","80","22911"
"2007","Daily News Record - 2007 December 22","42","22912"
"2007","Daily News Record - 2007 December 24","28","22913"
"2007","Daily News Record - 2007 December 26","28","22914"
"2007","Daily News Record - 2007 December 27","60","22915"
"2007","Daily News Record - 2007 December 28","56","22916"
"2007","Daily News Record - 2007 December 29","51","22917"
"2007","Daily News Record - 2007 December 31","34","22918"
"2008","Daily News Record - 2008 January 02","28","22919"
"2008","Daily News Record - 2008 January 03","35","22920"
"2008","Daily News Record - 2008 January 04","44","22921"
"2008","Daily News Record - 2008 January 05","44","22922"
"2008","Daily News Record - 2008 January 07","26","22923"
"2008","Daily News Record - 2008 January 08","24","22924"
"2008","Daily News Record - 2008 January 09","26","22925"
"2008","Daily News Record - 2008 January 10","47","22926"
"2008","Daily News Record - 2008 January 11","60","22927"
"2008","Daily News Record - 2008 January 12","48","22928"
"2008","Daily News Record - 2008 January 14","24","22929"
"2008","Daily News Record - 2008 January 15","24","22930"
"2008","Daily News Record - 2008 January 16","24","22931"
"2008","Daily News Record - 2008 January 17","55","22932"
"2008","Daily News Record - 2008 January 18","48","22933"
